Index,Sentence
191,Vous allez me passer la moindre surface.
192,Ces déséquilibres sont épouvantables.
193,Elle ressemblait à Kim Novak.
194,Vous avez peut-être affaire à un tueur.
195,Il y avait des coussins au crochet.
196,Il est vers Korea Town.
197,Les êtres asociaux évitent la violence.
198,Maria Thomas est une bureaucrate.
199,Ses yeux se mouillèrent.
200,Il a été attiré dehors.
201,Je ne crois pas au point d'interrogation.
202,Il suivit d'une longue gorgée.
203,Je le joignis au poste.
204,Sa veste avait des revers anciens.
205,Elle pensait qu'elle maîtrisait tout.
206,Son fils parlait positivement de moi.
207,Il ne fallait pas de conclusions fracassantes.
208,Vita n’avait qu’à être elle-même.
209,Il monta des entrailles.
210,Connaîtriez-vous une certaine Vita Berlin ?
211,Cette histoire a trop coûté.
212,Elle se tripotait nerveusement les mains.
213,"Des joints, des capotes, des emballages."
214,"Ma foi, c'est M. Ostrovine."
215,Des articles en brocart étaient présents.
216,Le stress cause les symptômes.
217,C'était il y a deux mois.
218,La batterie est comme un moteur.
219,Il était plus proche de cinquante-cinq ans.
220,Il y a de grandes chances.
221,Le chêne blanchi est aux murs.
222,Il y a des similitudes avec Vita.
223,Les quelques meurtres sont isolés.
224,Des ennemis ? lâcha Sloat.
225,Il le fit d'un pas soutenu.
226,Ce sont eux qui m'ont adressé Vita.
227,Pourquoi le choix s'est-il porté sur Vita ?
228,Il était en trop bonne santé.
229,Elle se pétrifia instantanément.
230,Nous ne pouvons pas...
231,"Totalement, tout était faux."
232,Milo continua de lui tenir la main.
233,"Quand on a connu Jay, c'est dur."
234,Il attendit qu'elle laisse retomber ses bras.
235,Son pantalon était beige clair.
236,Sortir coûte de l'argent.
237,Colin est vraiment... .
238,Elle habite à Gallup .
239,"Non, en vérité, une grosse commission est gratifiante !"
240,Ses trésors étaient retenus par pression.
241,Il a été libéré au bout de vingt-six.
242,Puis ça a repris.
243,C’était la sonnerie de Mailler.
244,L'homme avait été retrouvé dans le jardin.
245,Il pourrait y avoir une légère transpiration.
246,Il y avait Barron et Glenda Parnell.
247,Il laissait voir quelques centimètres de ventre.
248,C'était peut-être son timbre naturel.
249,Il y avait la médecine physique.
250,"Bravo pour votre généalogie, Maria."
251,Il y avait la médecine nucléaire.
252,Vous comprenez pourquoi le rôdeur...
253,Elle s’épilait les sourcils.
254,Elle avait les cheveux courts en dégradé.
255,Un présentoir arborait chaussures et bottes.
256,Je recherchais des indications.
257,"Sloat expira, l’haleine âcre."
258,Il soupira très longuement.
259,Il y avait un regret dans son regard.
260,Un papier fut sorti d'une poche.
261,La fermeture n'était pas remontée.
262,Tu as signalé le carton.
263,Elle est petite sur la photo.
264,C’était sur la route de Temescal Canyon.
265,Je ne suis même pas certaine.
266,L'expression  les gens comme vous ...
267,Il avait parlé de quelqu'un.
268,"Malgré votre réticence, jeunes gens..."
269,En quoi est-ce que cela vous regarde ?
270,Les diagnostics délicats étaient mis en attente.
271,"C'est tentant, mais c'est tôt."
272,Elles étaient identiques à celles de la pièce principale.
273,Son mari la dévisagea.
274,Ça semble vraiment se concentrer.
275,Il vend des fringues de luxe.
276,Quand je pense que Quigg a été épé.
277,Elle était une plaisanterie pour les riverains.
278,Il raconta l'histoire du coq.
279,C'est bien la question.
280,Son tempérament violent interroge.
281,Il loge dans un cadre étrange.
282,Il vibrer sur la table.
283,On a déjà repéré un truc.
284,Il a trouvé un appel en provenance d'Illinois.
285,La moquette était beige.
286,Vous voyez quelqu'un d'autre ?
287,Comment ressemble ce suspect ?
288,"Oui, je sais, finit-il par dire."
289,T'avais plus qu'à te désinfecter !
290,Il serpentait sur le sein droit.
291,Cinq agents assuraient le porte-à-porte.
292,"Moi non plus , mentis-je."
293,Le chef se déplace pour moi ?
294,C'est interdit aux animaux de compagnie.
295,Elle les laissait protester parfois.
296,C'était au-dessus de la ceinture élastique.
297,George ne veut pas que ça sente.
298,Un certain Colin Quigg.
299,N’importe qui peut se fabriquer un badge.
300,Vita en tenait-elle compte ?
301,Je rattrapai de justesse la porte.
302,À la paierie .
303,Il ne lui confierait jamais de message.
304,C'était un gâteau à quatre étages.
305,"Je vous promets, Samantha."
306,Vous pensez donc que c'est lui ?
307,Mon regard n'est plus extérieur.
308,La victime avait la tête tournée.
309,Il fut renversé par un chauffard.
310,Elle passa la main en dessous.
311,La photo était datée quarante-deux jours plus tôt.
312,Elle avait les cheveux frisés très serrés.
313,Je suis dans le métier.
314,Cela accrut la surprise.
315,Ils n'étaient pas contents du tout.
316,Son vêtement ne le grossissait pas.
317,Ça n'approchait pas la sauvagerie.
318,La réunion à trois eut lieu.
319,Elles ne se parlaient pas souvent.
320,Il y avait des boiseries.
321,Ou peut-être de la marche.
322,"Le marbre, ça va , dit Maria Thomas."
323,Milo est de ceux qui élèvent le ronchonnement.
324,À en juger d'après sa voix.
325,C'est du divan de luxe.
326,Clarice souhaitait que ses ados entendent.
327,C'est souvent un trait de famille.
328,Elle vit à Evanston.
329,Elle n'avait pas de sang.
330,Il pourrait y avoir une accélération des cils.
331,Elle lui tapota l'épaule.
332,Une semaine pour tel symptôme.
333,Sinon elle porte plainte.
334,C'étaient des rudiments de mécanique.
335,"Là, je sais mes droits."
336,J'ai affaire à un Kevin.
337,Il n'avait d'autres clients que son épouse.
338,"Allons, ne sois pas idiote..."
339,Nous devons enquêter sur un meurtre.
340,L'adresse était au nord du parc.
341,Sarah voudrait vous parler .
342,Tel est le rôle de l'homme.
343,C'était plus que je ne m'y attendais.
344,J'espère qu'il va bien.
345,C'était l'an d'une azalée.
346,Mais elle ne sera pas regrettée.
347,C'était un farfadet dandy.
348,Vous ne pouvez pas étayer votre alibi.
349,Elle avait une denture d'un blanc aveuglant.
350,Nous étions parés de gants propres.
351,Il avait conduit sans permis.
352,Je n'ai pas pu me prononcer.
353,Elle gagnait trente mille par an.
354,Aucune famille n’avait signalé leur disparition.
355,Il prit la direction du poste.
356,Mon cerveau ne s'arrête pas.
357,Plus précisément des parents noirs.
358,Souhaites-tu en savoir plus ?
359,Barron constituait la menace principale.
360,Il partageait son attention.
361,Il vient au travail à vélo.
362,Après une trentaine de secondes.
363,Je flaire une affaire de gros sous.
364,"La mère, le père, et leur môme."
365,Vous souhaitez quelque chose de poussé ?
366,C'est pour une fête foraine.
367,Elle était affectée à une clinique.
368,Il trompa avec mon amie.
369,"Moi non plus, mentis-je."
370,Les schizophrènes portent parfois plusieurs vêtements.
371,Elle laissa retomber sa tête.
372,Je la fis encore boire.
373,Il dévoile une chaussette écossaise.
374,Le moment est venu pour moi.
375,Nous sommes chez Allstate .
376,Elle savait faire preuve de fermeté.
377,Leur position était claire.
378,Il a reçu les conclusions de l'autopsie.
379,Je l'explique sans détails.
380,Les bords se chevauchaient régulièrement.
381,"Alors, vous vous rappelez ?"
382,Ou rappelle sans cesse.
383,C'est pour ça qu'elle savait.
384,George étant votre ex ?
385,Le tueur avait été méticuleux.
386,Vita n'était pas coopérative.
387,N’importe qui était libre de s’y introduire.
388,Il était posté devant la porte.
389,Elle cita une série comique.
390,La vertu englobe beaucoup de choses.
391,Je n’ai pas tué Vita.
392,Il fit cela avant même d'avoir claqué sa portière.
393,Dès lors que Barron avait déverrouillé la porte...
394,Quel genre de scénario apprécie Bella ?
395,qu'il vaut mieux prévenir.
396,Rictus à la commissure gauche des lèvres.
397,J'ai même eu droit à une visite.
398,Tu es l'expérience incarnée.
399,"Il demanda ""Qui sait conjuguer le verbe piétiner ?"
400,Elle demanda ce qu'il ferait s'il les découvrait.
401,"Je me fiche éperdument de ces intrigues, Maria."
402,"Milo demanda ""Quelle serait l'autre éventualité ?"
403,Vous êtes obligé de l’appeler ?
404,Il avait l'air agacé.
405,Les gens ne faisaient pas ce qu'elle demandait.
406,Un appareil comporte trois vis.
407,Cela n'a rien à voir.
408,Je leur demande de circuler.
409,Il grimaça un peu.
410,Vita n'était pas typique.
411,Vous êtes le seul.
412,Je n'aime pas gaspiller mon temps.
413,C'était une expression consacrée.
414,Je n'ai pas fourni de diagnostic.
415,Hedy et Ralph sont ensemble.
416,Il avait retrouvé de l'assurance.
417,Elle indiquait une feuille froissée.
418,Elle avait trois projets à l'étude.
419,Comment auraient-ils su où la retrouver ?
420,Il y avait une caricature de chef.
421,Ce sont des renseignements superflus.
422,Elle était pointue comme une stalactite.
423,Ils se répètent des mantras haineux.
424,Il prélevait les organes.
425,"S’il l’apprend, il me virera."
426,Elle était muette comme une carpe.
427,Elle me caresse la joue.
428,C'étaient des petits cris de douleur.
429,Une décision officielle est nécessaire.
430,Mais a refusé d'en parler.
431,La rumeur enfle dans ma tête.
432,Je suis son supérieur.
433,"C'est intéressant, l'envers du décor."
434,Elles habitent dans les environs ? .
435,Milo et ses adjoints prirent du temps.
436,A savoir ? .
437,De ce qui lui est arrivé.
438,Elle affichait un air grave.
439,"Il dirait ""Vous auriez mieux fait de rester !"
440,"Ce crétin, lui, n'a pas bougé."
441,Un dessinateur peut-être ?
442,Cela commence à faire long.
443,Des chiens miniatures tiraient sur leur laisse.
444,C'était un adepte du jogging.
445,Il aurait parlé d'un déjeuner gratuit.
446,Si vous avez entendu Vita improviser.
447,Il a sorti son mobile.
448,C'était une gosse malade.
449,J'étais privé d'un sacré spectacle.
450,Il attacha la laisse à une branche.
451,Dormir et ne plus jamais me réveiller .
452,J'en choisis une prometteuse.
453,On ne l'a jamais revu.
454,Eux aussi sont compliqués ?
455,C'était au cœur d’un laurier-rose.
456,"Nous y voilà, votre fichu caractère , dit-elle."
457,Un endroit où un SDF pourrait se poser.
458,Quel genre de voiture conduisait-il ?
459,Ils traînent le long de la highway.
460,Je me penchai pour examiner les plaies.
461,Ils ne sont pas rentrés .
462,Elle se souciait de sa propre survie.
463,Je pensais l'avoir maîtrisée.
464,Dans le répertoire des troubles mentaux.
465,C’était il y a cinq soirs.
466,Ils furent dans le même établissement.
467,Ils l'ont aperçue par hasard.
468,L'assureur a accepté de transiger.
469,Elle sourit pour masquer sa confusion.
470,Pas du tout .
471,On ne va pas se raconter des salades.
472,Il faisait frais dans l'appartement.
473,Dans quelle mesure était-elle responsable ?
474,"Désolé, je ne peux pas dire."
475,Elle faisait des siennes ici ?
476,C'était huit heures du matin.
477,J’ai refusé de la faire entrer.
478,En voilà une question indiscrète.
479,Les draps bleu pâle n'avaient subi aucun flot.
480,"Soudain, il a disjoncté."
481,Je possède cet immeuble.
482,"Et les faiblards , pour la citer."
483,Les renseignements sur divers documents...
484,Elle l'a remis à sa place.
485,Elle continuait de regarder l'écran.
486,Elle ne l'avait pas encore vu.
487,Ils ne sont pas encore au courant.
488,Il fit demi-tour brusquement.
489,Les familles se plaignent de la nourriture.
490,L'avocat qui a menacé Barron Parnell ?
491,Elle a offert si peu de résistance.
492,Ça ne les regarde pas.
493,Ça n'a aucune importance.
494,Il n'y a pas une odeur de détergent.
495,Je me suis contenté d'un résumé.
496,J'avais un écran plat de cinquante pouces.
497,Elle se prolongeait par le coloris intense du Pacifique.
498,"Si elle est accordée, nous discuterons."
499,Il aurait été adressé pour d'autres examens.
500,Il habite à Los Feliz.
501,On nous a raconté qu'elle avait un mauvais caractère.
502,Elle avait une silhouette d'athlète.
503,Il avait quelques broutilles au volant.
504,Il y avait la réadaptation.
505,Il utilisait son pouce.
506,Il cherchait Vita Gertrude Berlin.
507,Vita ne se contentait pas de cela.
508,Il lui tapissait aussi la mâchoire inférieure.
509,Je ne savais pas que vous étiez branchés.
510,La serviette brodée m'intriguait.
511,Si j'avais la certitude d'être en présence...
512,Cela correspond à un rôle de premier plan.
513,Il veillait à ne pas mutiler.
514,C'était un monsieur normal.
515,Quoi ? Comment cela est-il possible ?
516,Le Dr Usfel ne l'informa pas.
517,Elle l'a chevauché comme un étalon.
518,Il s'était habillé les yeux bandés.
519,"Je dis ""L'appartement de Vita."
520,Je n'ai aucun diplôme.
521,Rien ne peut le justifier.
522,"Bonne fin de journée, docteur."
523,Elle y parvenait par la méchanceté.
524,"Moi, je lui ai répondu."
525,Des personnes vraiment malades.
526,Son accent était prononcé.
527,Et vous habitez en face.
528,Elle était toutefois certaine d'une chose.
529,Il était attaché à la tête de lit.
530,Belle Quigg garda les lèvres entrouvertes.
531,Il a allégué qu'il se défendait.
532,Je ne lui ai jamais rien fait.
533,"Dans ce cas, vous n’avez rien à craindre."
534,Il n'y releva aucune ecchymose.
535,Elle fut induite par le choc.
536,Je prends Blanche sur mes genoux.
537,Je ne suis pas Crésus.
538,Il n'y avait pas de carton.
539,"S'il s'est blessé, vous pourriez être chanceux."
540,Cela diminuait son acuité visuelle.
541,Elle émit un râle.
542,Ils sont peut-être liés à la Mafia.
543,Un minable avait graissé la patte.
544,Il avança un peu plus.
545,Elle faisait du bruit quand ils rentraient.
546,Quels renseignements personnels Vita vous a-t-elle fournis ?
547,Jay m’a affirmé le contraire.
548,Elle a pris leur commande.
549,La réceptionniste pivota sur son siège.
550,C'est ce que je suggérai.
551,Vous comprendrez quand vous la verrez.
552,La rue était barricadée.
553,Elle permettait au patient de repartir.
554,"Avec des bons souvenirs, peut-être."
555,Chéri joue à l'homme des cavernes.
556,Vita est partie à L.A.
557,"Si c'était lui, il était retors."
558,Le procès fut une épreuve.
559,C'était avec une apparence professionnelle.
560,On y voit des choses impensables.
561,Quel était son métier ? .
562,"Avec le recul, je suis conscient."
563,Elle la ramena derrière son oreille.
564,...vous risqueriez de tomber sur quelqu'un d'intelligent.
565,Un peu plus que dans l’appartement de Vita Berlin.
566,Vita Berlin vous avait menacé ?
567,Une bonne dizaine de personnes faisaient la queue.
568,On n'en sait rien.
569,Elle occupe le même poste.
570,Il était plutôt curieux.
571,Avez-vous repéré des signes ?
572,Il y avait un seul mot.
573,Me paraissait pire que celle de Vita.
574,Elle posa la main sur le torse de Milo.
575,Il y a les deux familles Park.
576,Et même les comptables.
577,Le Dr U aurait eu maille à partir.
578,Il se renseigna sur la victime.
579,C'était le tiroir de Barron.
580,que ce serait pareil avec sa mère.
581,"Oui, vous êtes des mecs."
582,Elle s'est approchée de lui.
583,Où ça ? .
584,Il nous précéda à l'extérieur.
585,Mais nous avons peu d'espoir.
586,Mais c’était un joli résultat.
587,Que te dire d'autre ?
588,Ses déclarations d'impôts étaient là.
589,Ils m’ont entubé mes horaires.
590,Elle les coupait elle-même.
591,Je regagnai la Seville.
592,La déco était pensée.
593,Les gens du quartier promènent leur caniche.
594,C'était trop loin pour faire l'aller-retour.
595,Où ai-je noté les coordonnées de l'avocat ?
596,"Pourtant, on ne s'est jamais plaints."
597,Le temps est le meilleur remède.
598,Il a dû présenter des documents.
599,Je ne sais pas.
600,À condition de verrouiller l'information.
601,N'y mettez pas les pieds.
602,Il y avait prise de poids.
603,Voilà une question délicate.
604,Il livra quelques suggestions à Milo.
605,Des clichés en noir et blanc étaient là.
606,Ou bien elles avaient été prises d'un spasme.
607,Le meurtre avait eu lieu ici.
608,Elles font cela avant d'y planter leur dard.
609,J'ai adressé un mail au bras droit.
610,Il était dans la salle à manger.
611,Les disputes furent moins remarquables.
612,que vous êtes là à propos de Cameron ?
613,On m'en a parlé.
614,Il profitait d'une pause.
615,Pour obtenir sa biographie.
616,Il avait connu des centaines de meurtres.
617,Milo approcha son siège.
618,Il y a forcément des accrochages.
619,Vous dispensez les soins en ambulatoire.
620,La saison des sports d'hiver .
621,Je ne dis pas ça pour te culpabiliser.
622,Elle termina par un gros plan.
623,Ce ne sont que des questions.
624,Les parents ne remarquaient rien.
625,Il n’était pas en état de repartir.
626,Il ne fallait pas s'intéresser à lui.
627,Du vrai et faux sucre.
628,Elle donnait sa chance à tout le monde.
629,Ma femme veut du shopping.
630,Elle pâlit à nouveau.
631,Il y a des différences notables.
632,Mais il s'est éteint.
633,Il fut motard à Tulsa.
634,Je composai le numéro de Shacker.
635,Elle se précipita dans la kitchenette.
636,Robin éteint la scie.
637,Pas de coup porté par-derrière.
638,Malgré les manquements bureaucratiques.
639,Un ricanement maléfique suit.
640,Ils étaient avec deux jeunes femmes.
641,Elle naissait entre deux clavicules.
642,En quoi puis-je vous aider ?
643,C'est pour le livreur.
644,C'était un beige anonyme.
645,Pourquoi êtes-vous mêlé ?
646,Puis-je vous livrer quelque chose ?
647,Il avait un casier judiciaire.
648,Elle était anthracite au sommet du crâne.
649,Elle m'avait laissé un message.
650,Qui commettrait un meurtre pour ça ?
651,Elle pouvait laisser toutes les lumières allumées.
652,Elle cligna des yeux.
653,De quel genre ?
654,Il faisait la vaisselle.
655,Elle était au pied du lit.
656,Ce n'est pas la fin du monde.
657,La chambre d'hôtel était petite.
658,"B. Shacker, PhD, n° 217."
659,Les bourreaux de Well-Start avaient un alibi.
660,Elle a touché le pactole.
661,Elle avait trois ans.
662,Il ne fallait pas le menacer.
663,"M. Veronese, c'était mon grand-père."
664,Il a procédé très soigneusement.
665,Tout le monde aimait Colin .
666,Il y avait des médecins.
667,Elle avait les yeux grands ouverts.
668,dit Milo en griffonnant.
669,Il repère une proie au hasard.
670,Louie venait d'un refuge .
671,it ses propres idées.
672,Je n'avais rien de constructif à dire.
673,Sur une scène de crime banale.
674,Je ne sais pas ce que j'ai.
675,Elle exerçait en médecine nucléaire.
676,Je suis sortie dehors.
677,Le coup n'était pas fatal.
678,Elle buvait de plus en plus.
679,C'était une habituée ?
680,Nous n'avons rien discuté.
681,On a mangé un morceau.
682,Elle disait qu'ils étaient impliqués.
683,Pourquoi les soupçonnez-vous ? .
684,"Ils raclaient, délayaient, mettaient en sachets."
685,Pas d'autres bouteilles d'alcool ailleurs ?
686,Difficiles à confirmer par examen.
687,Vous allez perdre votre temps.
688,Zane Banion est également là.
689,C'est ce que précisa Flores.
690,Tu es l'expérience personnifiée.
691,C'était un soin méticuleux.
692,Aucun mandat n'était contre lui.
693,Elle ne servait plus qu’à des tournages.
694,"Pour moi, ce sera un double."
695,Elle revint avec une assiette de boulettes.
696,Il n'y eut pas de réaction du livreur.
697,Les psychopathes ne sont pas sujets.
698,Elle avait un regard acéré.
699,"Elle vous poursuit, puis propose un plan cul."
700,Elle était votre locataire.
701,Sur une éventuelle simulation.
702,La serviette était pliée en deux.
703,Elle n'était pas généreuse avec elle-même.
704,Elle contemple le bois de rose.
705,Elle geignait et s'agitait.
706,Elle ne pouvait pas donner un âge.
707,Je reconnus la femme.
708,Les lampes ruches étaient en céramique.
709,qu'il enseignait la psychologie.
710,Elle détestait la marmaille.
711,Aucun précédent sur internet.
712,Le chef adjoint Maria Thomas avait tardé.
713,Je vois que monsieur est en forme.
714,Mon contact au FBI n'a rien vu.
715,Je ne suis pas salarié.
716,Ils étaient complètement faits.
717,Les poignets de la chemise dépassent.
718,Il est susceptible de fournir des renseignements.
719,Elle les déposa dans un sachet.
720,La voisine du dessus était assassinée.
721,Il l'a butée ?
722,Je m'imaginais que c'était l'immeuble idéal.
723,"Oui... non, je mens."
724,Erica Vail afficha un large sourire.
725,Il n'infligeait pas de douleur.
726,Elle ne se plaisait pas ici.
727,Il ne pouvait pas dire l'heure précise.
728,Il enfile son peignoir.
729,Ils étaient d'horribles personnes.
730,C’était il y a six ou sept ans.
731,"Elle demanda ""Habiter au sens propre ?"
732,Aussi longtemps que j’en ai envie.
733,Ce fut une forme d'anesthésie radicale.
734,Un adulte se comportait en enfant.
735,Elle s'approcha et se mit au travail.
736,J’ai même arrêté de bosser.
737,Elles ne pouvaient être réfutées.
738,Il attirait l'attention des jeunes mères.
739,Que voulez-vous savoir sur la folle mégère ?
740,Une menteuse de première classe ?
741,La posture était grotesque.
742,Elle faisait tournoyer sa canne.
743,Il y avait deux photos plastifiées.
744,Quand je travaillais en oncologie.
745,Elle prenait son portefeuille.
746,Pourquoi le ferait-elle entrer ?
747,Il a pointé l'autre côté de la rue.
748,Les mystères du corps humain.
749,J'ai trouvé une photo d'elle.
750,Elle n'avait pas la carrure nécessaire.
751,Le sifflement du climatiseur était audible.
752,Ces gens-là ne sont jamais assurés.
753,Il pensait que le chien était étripé.
754,"Quelle société, maître ?"
755,La recette miracle n'a jamais marché.
756,Ce sont aussi des fibres.
757,Nous occupons un marché niche.
758,Le traitement provoque la calvitie.
759,Elle se voyait comme la gardienne.
760,Ces personnes ont-elles une force physique ?
761,J'espère avoir réglé la paperasse.
762,Je ne suis pas certain.
763,C'était sur le répondeur.
764,Ils l'entendent à nouveau.
765,Serait-il possible de discuter ?
766,Je parle du point de vue du coupable.
767,Il l'avait rencontré en promenant le chien.
768,Il arrivait chaudement vêtu.
769,Il appela Margaret Wheeling.
770,Il était doublé de mouton.
771,Ses diplômes sont affichés là.
772,Les tissus étaient assortis.
773,Les outrances politiques des blogueurs sont vaines.
774,Je dis ça parce qu'elle a insulté une personne.
775,On m'a demandé de voir Vita.
776,Il devint un serpent.
777,Si on m'en avait demandé un.
778,Elle ne peut faire mal à un gaillard.
779,Sa voix était crispée.
780,Elle glissa par l'embrasure.
781,Milo pourrait se passer d'analyses.
782,Sa voix est rassurante.
783,Elle se mordit la lèvre.
784,Je ne sais pas.
785,Les gens les plus atteints sont réticents.
786,Il ne s'était pas embêté pour le sang.
787,C’était à deux minutes en voiture.
788,Mais à ce stade...
